CustomerID,Name,Gender,Age,City,Signup_Date,Last_purchase_date,purchase_amount,feedback_score,email,Phone_number,Country,Days_Between,purchase_missing
0,Ankit,Female,36.0,Mumbai,2024-12-31,2025-08-13,443.56799520069285,2.0,nan,,Canada,225.0,1
C2,Ravi,Female,46.0,Kolkata,,,838.7270027007396,5.0,nan,,Canada,,1
C4,Ankit,Male,44.0,Kolkata,,2025-09-13,3982.9761443198267,5.0,nan,9316267914,USA,,1
5,Rahul,Male,42.0,Ahmedabad,2025-07-09,,4286.693817461947,5.0,nan,9234603292,USA,,1
C6,Amit,Unknown,64.0,Mumbai,,,2022.5726225716214,5.0,nan,,UK,,1
C9,Simran,Female,42.0,Pune,,,2863.5239254480753,5.0,nan,,India,,1
10,Ankit,Unknown,24.0,Chennai,,,2329.444470777687,5.0,nan,,Nan,,1
C12,Ravi,Male,40.0,Hyderabad,2025-05-29,2021-03-20,2712.5,3.0,nan,,UK,-1531.0,0
13,Rahul,Male,43.0,Bangalore,,,2822.0,5.0,user12@mail.com,,Australia,,0
14,Ravi,Unknown,42.0,Mumbai,2024-12-15,2022-03-26,3181.6158746374567,1.0,nan,,USA,-995.0,1
15,Kiran,Unknown,62.0,Unknown,2022-10-16,2025-12-04,2896.226841934175,5.0,nan,9610475090,USA,1145.0,1
15,Unknown,Female,30.0,Pune,,,3705.8064155271854,5.0,nan,,Canada,,1
17,Pooja,Male,45.0,Pune,2021-12-18,2022-11-11,509.03,5.0,nan,,India,328.0,0
18,Priya,Female,39.0,Ahmedabad,,2021-10-10,1582.43,5.0,nan,,UK,,0
19,Sneha,Unknown,38.0,Pune,2023-01-07,,1301.357145810666,5.0,nan,,Nan,,1
20,Simran,Male,44.0,Pune,2021-07-21,2024-07-06,938.55,5.0,nan,9533545457,Canada,1081.0,0
C21,Unknown,Female,26.0,Mumbai,2021-06-28,,3955.2327238543603,2.0,nan,9720985722,USA,,1
C22,Ravi,Male,42.0,Kolkata,,,3429.5740069692188,5.0,user21@mail.com,9164267579,Nan,,1
